date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:21:54	69/69	---M--	200	added ('OK')	text/plain	etag:%22e2e6f-45-5f893b220aa4f%22	https://onemorearts.com/robots.txt		(from )
01:21:54	21806/21806	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2023:21:54%20GMT	https://onemorearts.com/	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/index.html	(from )
01:21:54	4416/4416	---M--	200	added ('OK')	image/png	etag:%22123c60-1140-5f893b3888f20%22	https://onemorearts.com/files/layout/portal/1/favicon.png	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/files/layout/portal/1/favicon.png	(from https://onemorearts.com/)
01:21:54	117305/117305	---MCZ	200	added ('OK')	text/css	etag:W/%222c3d1b-1ca39-5f893b2e6ffc0%22	https://onemorearts.com/assets/admin/vendor/bootstrap/css/bootstrap.min.css?1680688128	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/assets/admin/vendor/bootstrap/css/bootstrap.minbcc2.css	(from https://onemorearts.com/)
01:21:54	43655/43655	---MCZ	200	added ('OK')	text/css	etag:W/%22209f7c-aa87-5ff4361ad8ee3%22	https://onemorearts.com/assets/css/portal/1/style.css?1688039750	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/assets/css/portal/1/style77b7.css	(from https://onemorearts.com/)
01:21:55	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2023%20Oct%202023%2023:21:55%20GMT	http://connect.facebook.net/pl_PL/sdk.js	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/connect.facebook.net/pl_PL/sdk.3.delayed	(from https://onemorearts.com/)
01:21:55	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%2269e7492ad9a6a40972050e44ee058ecc%22	https://connect.facebook.net/pl_PL/sdk.js	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/connect.facebook.net/pl_PL/sdk.js	(from https://onemorearts.com/)
01:21:55	8063/8063	---M--	200	added ('OK')	image/png	etag:%2212033a-1f7f-5fc978740472d%22	https://onemorearts.com/files/layout/portal/1/logo.png?1685102622	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/files/layout/portal/1/logo9566.png	(from https://onemorearts.com/)
01:21:56	14487/14487	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2023:21:56%20GMT	https://onemorearts.com/idea,p,48	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/idea,p,48.html	(from https://onemorearts.com/)
01:21:56	13909/13909	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2023:21:56%20GMT	https://onemorearts.com/salerent,p,53	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/salerent,p,53.html	(from https://onemorearts.com/)
01:21:56	26495/26495	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2023:21:56%20GMT	https://onemorearts.com/paintings-and-sculptures,ac256	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/paintings-and-sculptures,ac256.html	(from https://onemorearts.com/)
01:21:56	28589/28589	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2023:21:57%20GMT	https://onemorearts.com/drawings-graphics-photographs,ac257	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/drawings-graphics-photographs,ac257.html	(from https://onemorearts.com/)
01:21:56	27094/27094	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2023:21:57%20GMT	https://onemorearts.com/sculpture-lamps-and-furniture,ac258	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/sculpture-lamps-and-furniture,ac258.html	(from https://onemorearts.com/)
01:21:57	17116/17116	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2023:21:57%20GMT	https://onemorearts.com/artists,p,63	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/artists,p,63.html	(from https://onemorearts.com/)
01:21:57	16611/16611	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2023:21:57%20GMT	https://onemorearts.com/eva-boiseau,p,64	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/eva-boiseau,p,64.html	(from https://onemorearts.com/)
01:21:57	17177/17177	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2023:21:57%20GMT	https://onemorearts.com/alexandra-zielinska-misiun,p,65	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/alexandra-zielinska-misiun,p,65.html	(from https://onemorearts.com/)
01:21:57	15788/15788	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2023:21:58%20GMT	https://onemorearts.com/dorota-starosta,p,66	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/dorota-starosta,p,66.html	(from https://onemorearts.com/)
01:21:57	15848/15848	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2023:21:58%20GMT	https://onemorearts.com/anna-wywial,p,67	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/anna-wywial,p,67.html	(from https://onemorearts.com/)
01:21:58	15062/15062	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Oct%202023%2023:21:58%20GMT	https://onemorearts.com/claudiusz-pohl,p,68	D:/Dokumenty%20i%20studia/onemorearts.com/Full%20Strona/onemorearts.com/onemorearts.com/claudiusz-pohl,p,68.html	(from https://onemorearts.com/)
